Autoren	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Stefan Koldehoff	810739,76	135123,29	3040274,11	472931,53	587733,21	472052,28	1507474,00	6675956,30	2584241,15	2584241,15	1507474,00	1722827,43	646060,29
Stefan Reckziegel	108280,47	18046,75	406051,77	63163,61	54140,24	27070,12	63163,61	279724,55	108280,47	108280,47	63163,61	72186,98	27070,12
Stefan Roemer	98442,46	16407,08	369159,21	57424,77	49221,23	24610,61	57424,77	254309,68	98442,46	98442,46	57424,77	65628,30	24610,61
Stefan Schwidder	169453,16	28242,19	635449,35	98847,68	84726,58	42363,29	98847,68	437754,00	169453,16	169453,16	98847,68	112968,77	42363,29
Stefanie Flamm					130408,82	130408,82	304287,24	1347557,79	521635,27	521635,27	304287,24	347756,85	130408,82
Stefanie Maeck							164825,79	1703199,81	659303,15	659303,15	384593,51	439535,43	164825,79
Stefanie Stadel			7145900,46	1331482,28	1141270,52	570635,26	1331482,28	15619320,63	6329799,71	6602789,21	5603309,67	6403782,48	2401418,43
Stephan Beckers								1878136,20	866832,09	866832,09	505652,05	577888,06	216708,02
Sty										692272,10	440536,79	503470,62	188801,48
"Sty;foto:styrie"								879680,12	959651,04	959651,04	559796,44	639767,36	239912,76
Sümer		49109,18	2209913,20	343764,28	294655,09	147327,55	343764,28	1522384,65	589310,19	589310,19	343764,28	392873,46	147327,55
Susanne Altmann	467482,82	77913,80	1753060,57	272698,31	233741,41	116870,70	272698,31	1207663,95	467482,82	467482,82	272698,31	311655,21	116870,70
Susanne Lenz										2075861,74	3528155,80	4032178,05	1512066,77
Susanne Messmer	868338,42	144723,07	3256269,06	506530,74	434169,21	217084,60	506530,74	4695182,97	2416954,46	2416954,46	1409890,10	1611302,97	604238,61
Sven Behrisch						553191,49	1290780,14	5716312,06	2212765,96	2212765,96	1290780,14	1475177,30	553191,49
Sven Siedenberg					56881,24	56881,24	132722,88	587772,77	227524,94	227524,94	132722,88	151683,30	56881,24
Swantje Karich											124661,25	997289,97	373983,74
Sylvia Nagel	1559114,63	259852,44	5846679,86	909483,53	779557,32	389778,66	909483,53	4027712,79	1559114,63	1559114,63	909483,53	1039409,75	389778,66
T.k.								2290515,65	1099447,51	1099447,51	641344,38	732965,01	274861,88
Tanja Dückers										68651,21	480558,44	549209,65	205953,62
Taz	57843,25	9640,54	216912,19	33741,90	28921,63	14460,81	33741,90	149428,40	57843,25	57843,25	33741,90	38562,17	14460,81
Technik	258582,09	43097,01	969682,84	150839,55	129291,04	64645,52	150839,55	668003,73	258582,09	258582,09	150839,55	172388,06	64645,52
Terheyden Pia			655550,92	655550,92	561900,79	280950,40	655550,92	2903154,09	1123801,58	1123801,58	655550,92	749201,06	280950,40
Thea Bracht					65988,21	65988,21	153972,48	681878,13	263952,82	263952,82	153972,48	175968,55	65988,21
Thea Herold			2261864,69	494782,90	424099,63	212049,81	494782,90	2191181,42	848199,26	848199,26	494782,90	565466,17	212049,81
Theadora Ruh	288605,81	48100,97	1082271,79	168353,39	144302,91	72151,45	168353,39	745565,01	288605,81	288605,81	168353,39	192403,87	72151,45
Thieme, Götz	4449753,31	741625,55	16686574,92	2595689,43	2224876,66	1112438,33	2595689,43	11495196,05	4449753,31	4449753,31	2595689,43	2966502,21	1112438,33
Thilo Boss	199392,97	33232,16	747723,65	116312,57	99696,49	49848,24	116312,57	515098,51	199392,97	199392,97	116312,57	132928,65	49848,24
Thomas Andre								32213,90	55223,82	55223,82	32213,90	36815,88	13805,96
Thomas Assheuer								2462053,11	3137108,62	3137108,62	1829980,03	2091405,75	784277,16
Thomas Girst	458106,17	76351,03	1717898,16	267228,60	229053,09	114526,54	267228,60	1183440,95	458106,17	458106,17	267228,60	305404,12	114526,54
Thomas Kliemann					297464,77	741521,64	1730217,15	25561024,17	13633270,80	16972362,38	10349861,42	12378472,41	5277136,26
Thomas Kliemann, Zzt. Kassel								1764375,58	1008214,62	1008214,62	588125,19	672143,08	252053,65
Thomas Linden									145483,36	2697674,45	1624121,60	1856138,97	1089527,04
Thomas Mauch								1309862,49	924608,82	924608,82	539355,14	616405,88	231152,20
Thomas Sulzyc							206636,64	2423040,55	1319909,83	1319909,83	769947,40	879939,89	329977,46
Thomas Wagner								6721392,69	5004465,26	5057853,51	2950414,55	3371902,34	1264463,38
Thomas Wolff	72445,76	12074,29	271671,61	42260,03	36222,88	18111,44	42260,03	187151,55	72445,76	72445,76	42260,03	48297,18	18111,44
Thorsten Dörting								5885911,84	2354364,74	2354364,74	1373379,43	1569576,49	588591,18
Thorsten Stötzer				118107,79	354323,37	177161,68	413377,26	1830670,73	708646,73	708646,73	413377,26	472431,16	177161,68
Till Briegleb	40781,54	6796,92	152930,79	23789,23	20390,77	10195,39	23789,23	105352,32	40781,54	40781,54	23789,23	27187,70	10195,39
Tilman Baumgaertel	58400,16	9733,36	219000,59	34066,76	29200,08	14600,04	34066,76	150867,07	58400,16	58400,16	34066,76	38933,44	14600,04
