Autoren	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
(bhu)								8918,72	15289,24	15289,24	8918,72	10192,83	3822,31
(che)								17704,33	30350,28	30350,28	17704,33	20233,52	7587,57
(dapd)								238664,81	220305,98	220305,98	128511,82	146870,65	55076,50
(dapd) (dapd)								430319,89	397218,36	397218,36	231710,71	264812,24	99304,59
(dapd) (dpa)								214484,16	214484,16	214484,16	125115,76	142989,44	53621,04
(dapd) (dpa) (blz) (dpa)								1356050,07	1251738,53	1251738,53	730180,81	834492,35	312934,63
(dapd) (dpa) (dapd)								1168011,13	1078164,12	1078164,12	628929,07	718776,08	269541,03
(dpa)								5076916,27	3109143,67	3109143,67	1813667,14	2072762,45	777285,92
(es)								38470,32	65949,11	65949,11	38470,32	43966,07	16487,28
"(es); (ewh)"								627040,45	396025,55	396025,55	231014,90	264017,03	99006,39
(hspah)								11048,57	18940,40	18940,40	11048,57	12626,93	4735,10
(kaj.)								1282490,97	628906,88	628906,88	366862,34	419271,25	157226,72
"(kaj.;dpa) (big.)"								327769,35	437025,80	437025,80	254931,71	291350,53	109256,45
(kbe)								294162,50	113869,36	113869,36	66423,79	75912,90	28467,34
(krk)								9051,84	15517,44	15517,44	9051,84	10344,96	3879,36
(m.g.)								80603,14	403133,18	403133,18	235161,02	268755,45	100783,29
(m.t.)								62164,83	106568,29	106568,29	62164,83	71045,53	26642,07
(mae)							29438,26	304195,31	117753,02	117753,02	68689,26	78502,01	29438,26
(mm)								627657,54	259720,36	259720,36	151503,54	173146,91	64930,09
(msk.) (nes.) (nes.)								499686,13	374764,60	374764,60	218612,68	249843,06	93691,15
"(ox.) (kaj.;dpa) (big.)"								500189,68	666919,58	666919,58	389036,42	444613,05	166729,89
(rp)							353960,40	1828795,38	707920,79	707920,79	412953,80	471947,19	176980,20
(tsu)								46723,46	80097,36	80097,36	46723,46	53398,24	20024,34
*arlt, Bärbel*	247685,19	247685,19	5572916,67	866898,15	743055,56	371527,78	866898,15	3839120,37	1486111,11	1486111,11	866898,15	990740,74	371527,78
*blank, Gisela*	175968,11	351936,22	7918564,92	1231776,77	1055808,66	527904,33	1231776,77	5455011,39	2111617,31	2111617,31	1231776,77	1407744,87	527904,33
.hajo Schiff	55196,77	9199,46	206987,89	32198,12	27598,39	13799,19	32198,12	142591,66	55196,77	55196,77	32198,12	36797,85	13799,19
"A.br.; Adolf Brockmann"	129089,30	86059,53	1936339,52	301208,37	258178,60	129089,30	301208,37	1333922,78	516357,21	516357,21	301208,37	344238,14	129089,30
Abendblatt.de							1406475,12	6356752,76	2503609,09	2503609,09	1460438,63	1669072,72	625902,27
Achenbach Dorothee			796708,19	929492,88	796708,19	398354,09	929492,88	4116325,62	1593416,37	1593416,37	929492,88	1062277,58	398354,09
Achim Müller*				66264,69	198794,06	99397,03	231926,40	1027102,63	397588,11	397588,11	231926,40	265058,74	99397,03
Adolf Brockmann	1026629,13	171104,85	3849859,22	598866,99	513314,56	256657,28	598866,99	2652125,24	1026629,13	1026629,13	598866,99	684419,42	256657,28
Adrian Renner			134661,15	942628,08	807966,93	403983,46	942628,08	4174495,80	1615933,86	1615933,86	942628,08	1077289,24	403983,46
Adriano Sack	1046017,32	174336,22	8323186,06	1400031,84	1200027,29	600013,65	1400031,84	6200141,01	2400054,59	2400054,59	1400031,84	1600036,39	600013,65
Adrienne Braun													568206,70
Agentur	88912,58	14818,76	2067599,39	1332664,87	1486213,52	743106,76	1733915,77	7678769,86	2972427,04	2972427,04	1733915,77	1981618,03	743106,76
Ai Weiwei					113613,18	113613,18	265097,41	1174002,84	454452,71	454452,71	265097,41	302968,47	113613,18
Ak	156180,87	26030,15	585678,28	91105,51	78090,44	39045,22	91105,51	403467,26	156180,87	156180,87	91105,51	104120,58	39045,22
Akluy	2270416,20	378402,70	8514060,74	1324409,45	1135208,10	567604,05	1324409,45	5865241,84	2270416,20	2270416,20	1324409,45	1513610,80	567604,05
Albert Otti										177744,59	177744,59	203136,67	76176,25
Alexander Gutzmer	267458,84	44576,47	1002970,65	156017,66	133729,42	66864,71	156017,66	690935,33	267458,84	267458,84	156017,66	178305,89	66864,71
Alexander Hosch			10329128,15	1954159,38	1674993,75	837496,88	1954159,38	8654134,40	3349987,51	3349987,51	1954159,38	2233325,01	837496,88
Alexander Kluy			5341305,43	934728,45	801195,81	400597,91	934728,45	4139511,71	1664370,64	1676766,45	978113,76	1117844,30	419191,61
Alexander Stilcken			914224,83	290889,72	249334,04	124667,02	290889,72	1288225,89	498668,09	498668,09	290889,72	332445,39	124667,02
Alexander Sury											819623,09	1639246,19	614717,32
Alexandra Lautenbacher	268465,84	44744,31	1006746,89	156605,07	134232,92	67116,46	156605,07	693536,75	268465,84	268465,84	156605,07	178977,23	67116,46
Alexandra Maschewski			600543,48	107789,86	92391,30	46195,65	107789,86	477355,07	184782,61	184782,61	107789,86	123188,41	46195,65
Alexandra Wach								7134631,58	4699559,86	5395446,89	3223849,07	3684398,94	1381649,60
Alexandra Zu Knyphausen	1134502,53	189083,75	4254384,48	661793,14	567251,26	283625,63	661793,14	2930798,20	1134502,53	1134502,53	661793,14	756335,02	283625,63
Almuthspiegler		82457,74	3710598,45	577204,20	494746,46	247373,23	577204,20	2556190,04	989492,92	989492,92	577204,20	659661,95	247373,23
Ambros Waibel								1386766,08	536812,67	536812,67	313140,73	357875,12	134203,17
Amin Farzenafar	176468,31	29411,39	661756,18	102939,85	88234,16	44117,08	102939,85	455876,48	176468,31	176468,31	102939,85	117645,54	44117,08
"Amirkhizi, Mehrdad; Campillo-lundbeck, Santiago"										258030,86	903108,00	1032123,43	387046,28
André Paul	717164,70	119527,45	2689367,62	418346,07	358582,35	179291,17	418346,07	1852675,47	717164,70	717164,70	418346,07	478109,80	179291,17
Andrea Backhaus								987111,45	3948445,79	3948445,79	2303260,05	2632297,19	987111,45
Andrea Dorothea Beel	124156,18	20692,70	465585,67	72424,44	62078,09	31039,04	72424,44	320736,80	124156,18	124156,18	72424,44	82770,79	31039,04
Andrea Maier									301461,21	361753,46	211022,85	241168,97	90438,36
Andrea Schurian					54716,46	54716,46	127671,75	1672505,48	851495,58	851495,58	496705,75	662874,45	498506,08
Andrea Seibel			898734,18	629113,92	539240,51	269620,25	629113,92	2786075,95	1078481,01	1078481,01	629113,92	718987,34	269620,25
Andreas Conrad				271116,14	271116,14	135558,07	316302,16	1400766,72	542232,28	542232,28	316302,16	361488,19	135558,07
Andreas Eikenroth												800779,73	600584,80
Andreas Fanizadeh													259455,80
Andreas Gebhardt	217460,50	36243,42	815476,86	126851,96	108730,25	54365,12	126851,96	561772,95	217460,50	217460,50	126851,96	144973,66	54365,12
Andreas Montag								744633,60	1489267,21	1489267,21	868739,21	992844,81	372316,80
Andreas Rosenfelder									1583629,87	2200157,95	1283425,47	1466771,97	550039,49
Andreas Strobl	1714594,21	285765,70	6429728,27	1000179,95	857297,10	428648,55	1000179,95	4429368,36	1714594,21	1714594,21	1000179,95	1143062,80	428648,55
Anemi Wick			106786,62	373753,18	320359,87	160179,93	373753,18	1655192,65	640719,73	640719,73	373753,18	427146,49	160179,93
Anett Busch	418877,71	69812,95	1570791,43	244345,33	209438,86	104719,43	244345,33	1082100,76	418877,71	418877,71	244345,33	279251,81	104719,43
Angela Hohmann											520455,72	1387881,93	520455,72
Anita Blasberg					459827,32	459827,32	1072930,40	4751548,93	1839309,26	1839309,26	1072930,40	1226206,18	459827,32
Anja Damm	328221,00	54703,50	1230828,74	191462,25	164110,50	82055,25	191462,25	847904,25	328221,00	328221,00	191462,25	218814,00	82055,25
Anja Helmbrecht	1384200,11	230700,02	5190750,40	807450,06	692100,05	346050,03	807450,06	3575850,28	1384200,11	1384200,11	807450,06	922800,07	346050,03
Anja Lösel			5820070,84	1566942,15	1343093,27	671546,64	1566942,15	6939315,23	2686186,54	2686186,54	1566942,15	1790791,03	671546,64
Anna Warnholtz			6308229,81	1132246,38	970496,89	485248,45	1132246,38	5014233,95	1940993,79	1940993,79	1132246,38	1293995,86	485248,45
Annabelle Hirsch								3650672,48	3982551,80	3982551,80	2323155,22	2655034,53	995637,95
"Anna-carla Melchert;luise Pilz"					33143,40	33143,40	77334,59	342481,77	132573,59	132573,59	77334,59	88382,39	33143,40
Anna-maria Deutschmann													149961,55
Anne Katrin Feßler					313144,67	234858,50	548003,17	2426871,20	939434,01	939434,01	548003,17	626289,34	234858,50
Anne Katrin Feßler Aus Kassel								1604970,36	917125,92	917125,92	534990,12	611417,28	229281,48
Anne Petersen	42293,94	7048,99	158602,29	24671,47	21146,97	10573,49	24671,47	109259,35	42293,94	42293,94	24671,47	28195,96	10573,49
Anne Waak								191286,65	327919,98	327919,98	191286,65	218613,32	81979,99
Annegret Jacobs			699738,07	144063,72	123483,19	61741,59	144063,72	637996,47	246966,38	246966,38	144063,72	164644,25	61741,59
Annette Bethune	32158,49	5359,75	120594,32	18759,12	16079,24	8039,62	18759,12	83076,09	32158,49	32158,49	18759,12	21438,99	8039,62
Annette Bosetti								2117545,38	847018,15	847018,15	494093,92	564678,77	211754,54
Annette Lettau	131708,37	21951,39	493906,38	76829,88	65854,18	32927,09	76829,88	340246,62	131708,37	131708,37	76829,88	87805,58	32927,09
Annette Maria Rupprecht	304080,87	50680,15	1140303,27	177380,51	152040,44	76020,22	177380,51	785542,25	304080,87	304080,87	177380,51	202720,58	76020,22
Annette Schroeder								270847,69	650034,46	650034,46	379186,77	834915,76	463678,21
Annette Stieckele								131651,01	225687,45	225687,45	131651,01	150458,30	56421,86
